plate,well_id,treatment,day0_area_mm,day1_area_mm,day2_area_mm,day3_area_mm,day4_area_mm,day5_area_mm,day6_area_mm,day7_area_mm,day8_area_mm,day9_area_mm,day10_area_mm,RGR,PG,0.046
21,b2,W_N_N,192.004,,,,,,,,,,597.655,5.867262044,2.11272161,
31,c2,DR_N_ODR,197.041,,,,,,,,,,615.02,5.893313605,2.121279328,
19,b2,DR_N_H,282.394,,,,,,,,,,881.452,6.217240222,2.12135527,
24,c4,LR_N_N,199.778,,,,,,,,,,626.98,5.911193967,2.138383606,
5,b5,UM_N_N,154.583,,,,,,,,,,486.151,5.682446158,2.144918911,
36,c5,W_N_ODR,279.082,,,,,,,,,,884.925,6.222352331,2.170842261,
27,c3,M_N_ODR,192.257,,,,,,,,,,612.099,5.891010732,2.183754038,
19,b1,DR_Y_H,228.896,,,,,,,,,,729.33,6.048799529,2.186294212,
16,b5,TF_Y_ODR,124.43,,,,,,,,,,396.773,5.500989998,2.188724584,
24,c3,LR_Y_N,256.68,,,,,,,,,,818.846,6.153113015,2.190143369,
20,b3,W_Y_KF,193.269,,,,,,,,,,620.724,5.904478239,2.211710104,
12,c1,W_N_H,372.738,,,,,,,,,,1202.831,6.500345648,2.227014686,
18,c5,TF_N_N,230.667,,,,,,,,,,744.395,6.068474297,2.22714129,
28,d5,LR_N_N,253.828,,,,,,,,,,821.491,6.157455295,2.236408119,
36,d1,DR_N_N,197.432,,,,,,,,,,639.768,5.932566189,2.240447344,
13,b2,W_Y_H,310.454,,,,,,,,,,1009.493,6.343399929,2.251666914,
8,a6,LR_N_N,238.188,,,,,,,,,,778.642,6.110245349,2.269022789,
10,a2,TF_N_ODR,195.109,,,,,,,,,,638.089,5.931121934,2.270423199,
23,b3,W_N_H,305.808,,,,,,,,,,1000.776,6.336235233,2.272563177,
13,b6,DR_N_H,231.173,,,,,,,,,,757.574,6.085804588,2.277086857,
16,b4,LR_Y_ODR,251.321,,,,,,,,,,827.678,6.165951089,2.293310149,
9,d4,UM_N_N,200.629,,,,,,,,,,660.744,5.96322073,2.293362375,
40,b6,DR_Y_KF,230.184,,,,,,,,,,761.162,6.090958314,2.306754596,
40,c5,DR_N_ODR,272.665,,,,,,,,,,902.842,6.244723172,2.311176719,
1,b3,M_Y_KF,159.942,,,,,,,,,,531.944,5.769057096,2.325855623,
14,a5,LR_Y_ODR,150.742,,,,,,,,,,502.504,5.718046623,2.333536771,
16,d2,W_Y_H,210.289,,,,,,,,,,701.224,6.017979102,2.334572897,
5,b2,TF_N_N,197.501,,,,,,,,,,659.548,5.962980387,2.339466636,
11,d3,DR_N_N,219.627,,,,,,,,,,734.413,6.059878475,2.343910357,
37,a6,UM_N_KF,177.353,,,,,,,,,,594.343,5.869642384,2.351186617,
22,b3,DR_Y_N,285.085,,,,,,,,,,955.834,6.29730552,2.35280355,
31,b1,DR_Y_KF,234.623,,,,,,,,,,786.692,6.122038815,2.353004607,
31,a6,W_N_N,233.496,,,,,,,,,,783.518,6.118477541,2.355594957,
29,d6,DR_N_N,242.627,,,,,,,,,,814.568,6.153505383,2.357285051,
12,b5,M_N_N,122.245,,,,,,,,,,410.504,5.53678295,2.358043274,
40,d5,DR_N_H,198.49,,,,,,,,,,666.954,5.973647206,2.36013905,
15,b5,UM_N_ODR,147.568,,,,,,,,,,495.972,5.707090565,2.360972569,
13,c3,M_Y_KF,117.438,,,,,,,,,,396.428,5.505903382,2.375636506,
25,c6,UM_N_N,175.582,,,,,,,,,,592.779,5.868011031,2.376080692,
35,c3,LR_N_ODR,169.878,,,,,,,,,,573.712,5.838619475,2.377200108,
36,a6,W_Y_H,351.647,,,,,,,,,,1189.491,6.49501798,2.382628033,
11,d2,UM_N_N,162.84,,,,,,,,,,552.736,5.805603679,2.394350282,
9,c1,W_Y_KF,266.961,,,,,,,,,,906.338,6.250702047,2.395020246,
8,a2,TF_Y_N,179.308,,,,,,,,,,608.856,5.892671287,2.395587481,
16,d5,TF_Y_H,240.327,,,,,,,,,,816.109,6.156347875,2.395827352,
21,a5,TF_Y_H,265.213,,,,,,,,,,904.061,6.248843508,2.408811031,
2,b2,DR_N_ODR,211.37,,,,,,,,,,721.326,6.04573017,2.412622416,
18,b6,TF_Y_ODR,302.381,,,,,,,,,,1032.999,6.36905272,2.416216627,
8,c3,DR_Y_H,203.55,,,,,,,,,,695.98,6.013729757,2.41920904,
30,c3,TF_N_KF,344.31,,,,,,,,,,1181.786,6.490627891,2.432331329,
1,c6,TF_N_ODR,192.096,,,,,,,,,,659.525,5.965720354,2.433309387,
26,a3,W_Y_ODR,211.278,,,,,,,,,,725.42,6.051433317,2.433485739,
22,c3,DR_Y_H,310.776,,,,,,,,,,1068.051,6.399683532,2.436722913,
38,d1,DR_N_KF,158.953,,,,,,,,,,546.779,5.797183843,2.439878455,
8,b3,DR_Y_ODR,227.033,,,,,,,,,,780.988,6.118050247,2.439975686,
17,c2,LR_Y_N,191.567,,,,,,,,,,659.502,5.965961243,2.442670188,
6,b4,LR_Y_N,240.419,,,,,,,,,,829.748,6.172883717,2.451258012,
30,a1,LR_N_N,214.728,,,,,,,,,,742.233,6.072725999,2.456619537,
34,c2,M_N_N,189.635,,,,,,,,,,655.868,5.961449432,2.458580958,
21,c5,TF_Y_ODR,254.058,,,,,,,,,,880.256,6.226456516,2.464783632,
40,c2,W_N_ODR,205.16,,,,,,,,,,711.919,6.035585125,2.470067265,
36,b6,W_Y_KF,337.939,,,,,,,,,,1174.863,6.486620283,2.476553461,
36,c3,TF_Y_ODR,199.824,,,,,,,,,,694.991,6.014155198,2.478015654,
24,b3,LR_Y_H,226.573,,,,,,,,,,789.36,6.128915772,2.483910263,
2,b5,W_N_ODR,128.271,,,,,,,,,,447.12,5.617412494,2.485745024,
6,b2,M_N_N,211.025,,,,,,,,,,735.678,6.065594862,2.486212534,
8,b1,TF_N_ODR,242.305,,,,,,,,,,852.426,6.199066676,2.51798766,
23,b6,DR_Y_H,195.408,,,,,,,,,,687.585,6.00567649,2.518714689,
2,d5,W_N_N,179.791,,,,,,,,,,632.845,5.93104602,2.519892542,
17,c6,W_Y_N,233.611,,,,,,,,,,822.963,6.167545508,2.522792163,
15,b4,DR_N_ODR,171.327,,,,,,,,,,605.429,5.891579897,2.533762921,
28,b3,W_Y_ODR,259.026,,,,,,,,,,921.38,6.270179702,2.557094655,
5,b3,W_Y_N,243.34,,,,,,,,,,866.755,6.215310389,2.561909263,
28,a1,DR_Y_KF,269.238,,,,,,,,,,959.008,6.306339842,2.561934051,
23,a3,W_N_N,280.347,,,,,,,,,,999.028,6.343179994,2.563540898,
36,c4,TF_N_ODR,308.545,,,,,,,,,,1099.653,6.429563184,2.563995527,
37,c3,TF_N_N,199.41,,,,,,,,,,710.7,6.036714099,2.564013841,
28,c1,DR_Y_H,219.627,,,,,,,,,,783.472,6.124542259,2.567284532,
12,b4,TF_Y_N,183.747,,,,,,,,,,655.5,5.964042322,2.567405182,
35,a2,M_N_N,164.105,,,,,,,,,,585.672,5.862709259,2.568885774,
23,b4,W_Y_H,233.772,,,,,,,,,,834.555,6.181464021,2.569952774,
16,d4,LR_Y_H,156.768,,,,,,,,,,560.487,5.823329348,2.575264085,
27,a6,TF_N_N,217.212,,,,,,,,,,780.827,6.122266231,2.594769166,
40,d3,TF_N_H,303.646,,,,,,,,,,1091.603,6.423816282,2.594985608,
37,a5,UM_Y_KF,129.099,,,,,,,,,,465.566,5.657195915,2.606271156,
10,a3,DR_Y_ODR,255.507,,,,,,,,,,922.415,6.27267025,2.610135926,
16,c3,LR_N_KF,156.929,,,,,,,,,,567.64,5.835908068,2.617177195,
17,d4,DR_N_H,218.914,,,,,,,,,,796.398,6.141231165,2.637949149,
22,c4,DR_N_H,226.389,,,,,,,,,,824.527,6.172584413,2.642080666,
17,d3,DR_Y_H,266.363,,,,,,,,,,973.659,6.322575136,2.655383818,
9,b3,UM_Y_H,221.513,,,,,,,,,,810.267,6.157315695,2.65787561,
35,c4,LR_Y_ODR,241.224,,,,,,,,,,884.074,6.235968173,2.66495042,
32,a2,M_N_N,127.075,,,,,,,,,,465.75,5.659171263,2.665158371,
11,b4,DR_Y_KF,234.577,,,,,,,,,,860.89,6.212188349,2.669967644,
6,d3,LR_N_ODR,254.886,,,,,,,,,,938.975,6.290707216,2.683901823,
36,a2,DR_Y_H,216.246,,,,,,,,,,797.433,6.143756154,2.687619655,
12,c3,TF_N_H,205.344,,,,,,,,,,757.528,6.097591838,2.6890681,
6,a1,M_Y_H,206.793,,,,,,,,,,763.784,6.105113197,2.693471249,
