Plate,Well,treatment,Genotype,Microbe,Cyano,12-Jul-24,Jul12NumericGerm,,15-Jul-24,jul15NumericGerm,15JulQualitativenotes,Jul15HealthScore
15,B6,M_N_N,UM,ODR,Y,3 germinated,3,,3 grew; poor health,3,poor health,2
15,A2,M_Y_N,M,KF,Y,3 germinated,3,,3 grew; poor health ,3,poor health ,2
15,A3,DR_Y_N,DR,KF,Y,3 germinated,3,,3 grew; poor health ,3,poor health ,2
15,A4,DR_N_N,DR,KF,N,3 germinated;  long roots,3,,3 grew; poor health ,3,poor health ,2
15,A5,UM_N_N,UM,KF,N,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
15,C6,UM_Y_N,UM,H,Y,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
16,A1,LR_N_N,W,N,N,1 germinated,1,,2 grew; poor health,2,poor health,2
16,D4,W_N_ODR,LR,H,Y,no germination ,0,,"2 grew, poor health",2,poor health ,2
16,D5,LR_Y_ODR,TF,H,Y,2 germinated; small roots,2,,3 grew; poor health,3,poor health,2
16,B6,LR_N_KF,TF,ODR,N,3 germianted; small roots,3,,3 grew; poor health ,3,poor health ,2
C1,B1,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,D5,control,control,control,control,2 germinated; long roots,2,,3 grew; poor health ,3,poor health ,2
C2,A3,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,B2,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,B6,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,C2,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,C3,control,control,control,control,3 germinated,3,,3 grew; poor health ,3,poor health ,2
C2,C4,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,C5,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,C6,control,control,control,control,3 germinated; long roots ,3,,3 grew; poor health ,3,poor health ,2
C2,D6,control,control,control,control,3 germinated; long roots,3,,3 grew poor health ,3,poor health ,2
C3,C2,control,control,control,control,2 germinated,2,,1 grew; poor health,1,poor health,2
C3,B3,control,control,control,control,2 germinated; long roots,2,,3 grew; poor health ,3,poor health ,2
7,C5,W_N_N,M,H,Y,3 germinated; long roots ,3,,3 grew; 2 poor health 1 medium health ,3,2 poor health 1 medium health ,2
15,C5,UM_N_KF,UM,H,N,3 germianted; long roots,3,,3 grew; 2 poor health 1 medium health,3,2 poor health 1 medium health,2
C2,B3,control,control,control,control,2 germinated,2,,3 grew; 1 medium health 2 poor health,3,1 medium health 2 poor health,2
2,A6,DR_N_H,W,H,Y,3 germinated,3,,2 grew; medium-poor health ,2,medium-poor health ,3
2,A3,W_N_N,UM,H,Y,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
2,B3,W_Y_N,UM,ODR,Y,3 germinated; long roots ,3,,3 grew; medium-poor health ,3,medium-poor health ,3
3,B4,UM_N_KF,UM,H,N,3 germianted; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
3,C4,LR_N_KF,UM,N,N,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
4,D4,W_N_H,W,ODR,Y,2 germinated,2,,3 grew; medium-poor health,3,medium-poor health,3
4,A6,DR_N_N,DR,H,N,3 germinated,3,,3 grew; medium-poor health,3,medium-poor health,3
4,B5,TF_Y_ODR,DR,KF,Y,3 germianated,3,,3 grew; medium-poor health,3,medium-poor health,3
4,C1,TF_N_ODR,TF,N,Y,3 germinated,3,,3 grew; meduim high health ,3,meduim high health ,5
5,A4,TF_N_KF,W,H,N,3 germinated; long roots,3,,3 grew; medium-poor health,3,medium-poor health,3
5,A5,W_Y_KF,UM,H,N,3 germinated; long roots,3,,3 grew; medium-poor health,3,medium-poor health,3
5,A6,W_N_KF,UM,H,Y,3 germinated; long roots,3,,3 grew; medium-poor health,3,medium-poor health,3
5,B3,UM_N_KF,W,N,Y,3 germinated; 2 long roots,3,,3 grew; medium-poor health,3,medium-poor health,3
5,D1,UM_Y_KF,TF,ODR,Y,3 germinated; 1 long root,3,,3 grew; medium-poor health,3,medium-poor health,3
6,A4,LR_N_ODR,LR,H,Y,3 germinated; long roots,3,,3 grew; medium-poor health,3,medium-poor health,3
6,B1,LR_Y_ODR,M,N,Y,3 germinated,3,,3 grew; medium-poor health,3,medium-poor health,3
6,B6,DR_Y_ODR,DR,N,N,3 germinated,3,,3 grew; medium-poor health,3,medium-poor health,3
7,B4,UM_Y_ODR,UM,KF,Y,3 germinated; long roots ,3,,3 grew; medium-poor health ,3,medium-poor health ,3
8,B3,TF_Y_N,DR,ODR,Y,2 germinated,2,,1 grew; medium-poor health,1,medium-poor health,3
8,C3,DR_Y_N,DR,H,Y,no germination ,0,,1 grew; medium-poor health,1,medium-poor health,3
8,A3,TF_N_ODR,DR,N,Y,2 germinated,2,,2 grew; medium-poor health ,2,medium-poor health ,3
8,C6,DR_N_H,LR,H,N,3 germinated ,3,,3 grew; medium-poor health,3,medium-poor health,3
8,D4,LR_Y_H,DR,KF,N,3 germinated,3,,3 grew; medium-poor health,3,medium-poor health,3
8,D5,LR_N_H,LR,KF,Y,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
9,A2,UM_N_ODR,W,ODR,N,2 germinated,2,,2 grew; medium-poor health,2,medium-poor health,3
9,C4,UM_Y_N,UM,KF,N,3 germinated,3,,3 grew; medium-poor health,3,medium-poor health,3
9,D3,UM_N_N,UM,N,Y,3 germinated; long roots ,3,,3 grew; medium-poor health,3,medium-poor health,3
10,A2,TF_N_N,TF,ODR,N,3 germianted; long roots,3,,3 grew ; medium-poor health,3,medium-poor health,3
10,C2,DR_Y_N,TF,N,N,3 germinated; long roots,3,,3 grew ; medium-poor health,3,medium-poor health,3
10,C4,DR_N_N,DR,N,N,3 germinated,3,,3 grew ; medium-poor health,3,medium-poor health,3
10,D2,M_Y_N,TF,KF,N,3 germinated; long roots,3,,3 grew ; medium-poor health,3,medium-poor health,3
10,D3,M_N_N,DR,KF,Y,3 germinated; long roots,3,,3 grew ; medium-poor health,3,medium-poor health,3
10,C5,TF_Y_KF,M,N,Y,3 germinated,3,,3 grew ; medium-poor health ,3,medium-poor health ,3
11,B5,DR_Y_H,LR,KF,Y,3 germinated; long roots,3,,2 grew; medium-poor health ,2,medium-poor health ,3
11,A6,DR_N_ODR,LR,H,N,3 germinated,3,,3 grew; medium-poor health,3,medium-poor health,3
11,B4,DR_Y_ODR,DR,KF,Y,3 germinated; long roots,3,,3 grew; medium-poor health,3,medium-poor health,3
11,B6,LR_Y_ODR,LR,KF,N,3 germinated; long roots,3,,3 grew; medium-poor health,3,medium-poor health,3
11,C1,LR_N_ODR,UM,ODR,Y,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
11,C6,UM_Y_N,LR,ODR,N,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
11,D4,UM_N_N,DR,N,Y,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
12,C3,W_N_ODR,TF,H,N,3 germinated; long roots ,3,,2 grew; medium-poor health ,2,medium-poor health ,3
12,A6,M_Y_N,M,ODR,Y,3 germinated; long roots ,3,,3 grew; medium-poor,3,medium-poor,3
12,C2,W_N_H,W,H,Y,3 germinated; long roots ,3,,3 grew; medium-poor health ,3,medium-poor health ,3
12,C5,W_Y_H,M,H,N,3 gemrinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
12,C6,TF_N_H,M,H,Y,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
12,D5,TF_Y_H,M,KF,N,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
12,D6,M_N_H,M,KF,Y,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
13,B5,W_N_KF,DR,H,Y,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
13,A2,W_Y_KF,W,ODR,Y,3 germinated; long roots,3,,3 grew; medium-poor heath,3,medium-poor heath,3
13,C1,M_Y_KF,W,KF,N,3 germinated; long roots,3,,3 grew; medium-poor heath,3,medium-poor heath,3
13,C3,M_N_KF,M,KF,Y,3 germinated; long roots,3,,3 grew; medium-poor heath,3,medium-poor heath,3
14,B4,LR_N_KF,TF,KF,Y,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
14,C5,UM_N_N,LR,N,Y,3 germianted; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
14,D3,UM_Y_N,TF,H,N,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
14,A1,TF_N_N,UM,ODR,N,3 germinated; long roots,3,,3 grew; medium-poor heath,3,medium-poor heath,3
14,A3,TF_Y_N,TF,ODR,N,3 germinated; long roots,3,,3 grew; medium-poor heath,3,medium-poor heath,3
15,C1,M_N_KF,M,H,N,1 germianted,1,,1 grew; medium-poor health,1,medium-poor health,3
15,A6,DR_N_ODR,UM,KF,Y,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
15,C3,UM_N_ODR,DR,H,Y,3 germinated; long roots ,3,,3 grew; medium-poor health ,3,medium-poor health ,3
15,D3,UM_Y_ODR,DR,N,Y,3 germianted,3,,3 grew; medium-poor health ,3,medium-poor health ,3
15,D6,M_N_H,UM,N,Y,3 germinated; long roots ,3,,3 grew; medium-poor health ,3,medium-poor health ,3
16,B2,TF_N_N,W,ODR,Y,3 germinated; small roots,3,,2 grew; medium-poor health,2,medium-poor health,3
16,D3,W_Y_ODR,LR,H,N,1 germinated ,1,,3 grew; medium-poor health ,3,medium-poor health ,3
16,C2,W_Y_KF,W,KF,Y,3 germinated,3,,3 grew; medium-poor heath,3,medium-poor heath,3
C1,D2,control,control,control,control,3 germinated,3,,3 grew; medium-poor gealth ,3,medium-poor gealth ,3
C1,B3,control,control,control,control,3 germinated; 1 long root,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C1,C1,control,control,control,control,3 germinated; 1 long root,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C1,C4,control,control,control,control,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C1,C5,control,control,control,control,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C1,D3,control,control,control,control,3 germinated; 1 long root,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C2,A5,control,control,control,control,3 germinated; long roots ,3,,3 grew; medium  poor health ,3,medium  poor health ,3
C2,A4,control,control,control,control,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C2,B4,control,control,control,control,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C2,C1,control,control,control,control,3 germinated; long roots ,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C2,D2,control,control,control,control,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C3,A3,control,control,control,control,2 germinated; long roots,2,,2 grew; medium-poor health,2,medium-poor health,3
C3,A2,control,control,control,control,3 germianted,3,,3 grew; 1 medium-high health 2 poor health,3,1 medium-high health 2 poor health,2
C3,D1,control,control,control,control,3 germinated,3,,3 grew; medium-poor health,3,medium-poor health,3
C3,A1,control,control,control,control,3 germinated,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C3,B1,control,control,control,control,3 germinated; long roots,3,,3 grew; medium-poor health ,3,medium-poor health ,3
C3,C6,control,control,control,control,3 germinated ,3,,3 grew; medium-poor health ,3,medium-poor health ,3
10,B5,TF_N_ODR,M,H,Y,3 germinated,3,,3 grew ; 2 medium heath; 1 poor health,3,2 medium heath; 1 poor health,4
14,D4,UM_N_ODR,TF,H,Y,2 germinated,2,,2 grew; 1 medium-high health 1 poor health,2,1 medium-high health 1 poor health,4
1,A6,LR_N_ODR,TF,H,N,3 germinated,3,,3 grew; medium health ,3,medium health ,4
1,B6,M_Y_ODR,TF,KF,N,3 germinated,3,,3 grew; medium health ,3,medium health ,4
1,C5,M_N_ODR,TF,ODR,Y,3 germinated; long roots ,3,,3 grew; medium health ,3,medium health ,4
2,A4,DR_Y_H,UM,H,N,1 germinated,1,,1 grew; medium health ,1,medium health ,4
2,B1,W_N_H,DR,ODR,Y,3 germinated,3,,3 grew; medium health ,3,medium health ,4
2,B4,W_Y_H,UM,ODR,N,3 germinated; long roots ,3,,3 grew; medium health ,3,medium health ,4
2,B6,DR_Y_ODR,W,ODR,Y,3 germinated,3,,3 grew; medium health ,3,medium health ,4
2,C1,DR_N_ODR,DR,KF,Y,3 germinated,3,,3 grew; medium health ,3,medium health ,4
3,A1,UM_Y_ODR,M,ODR,Y,3 germinated,3,,3 grew; medium health ,3,medium health ,4
3,B1,UM_N_ODR,M,H,Y,3 germinated,3,,3 grew; medium health ,3,medium health ,4
3,B3,LR_N_ODR,UM,H,Y,3 germinated,3,,3 grew; medium health ,3,medium health ,4
3,D3,LR_Y_ODR,UM,KF,Y,3 germinated,3,,3 grew; medium health ,3,medium health ,4
4,A4,TF_Y_H,W,H,Y,2 germinated,2,,3 grew; medium health ,3,medium health ,4
4,C3,TF_Y_KF,W,N,N,3 germinated,3,,3 grew; medium health,3,medium health,4
